model,cls,pr_auc,w_spearman,PRAUC_Retroviral,PRAUC_Retron,PRAUC_LTR_Retrotransposon,PRAUC_Group_II_Intron
rf_clf_allfeat,0.4651436272210706,0.399495744048379,0.5566095255444428,0.8334198209198209,0.5851948051948053,0.20833333333333331,1.0
rf_reg_allfeat,0.40590585166608795,0.48485058351299587,0.34906939392713987,0.6358159814042167,0.44646464646464645,0.26785714285714285,1.0
rf_combo_allfeat,0.3177508721444055,0.4207158940258151,0.25527537512059967,0.7024285355167708,0.5051948051948052,0.24285714285714285,1.0
rf_clf_nofoldseek,0.29710137732535363,0.2541433047573969,0.3575360128103467,0.5416547028679382,0.3646031746031746,0.17142857142857143,0.5
rf_reg_nofoldseek,0.1275209359105124,0.35035900148006677,0.07794545775221659,0.5601849811408635,0.48,0.26666666666666666,0.5833333333333333
rf_combo_nofoldseek,0.0,0.2862331149241982,0.0,0.5532856304915129,0.33714285714285713,0.19642857142857142,0.5833333333333333
esm_pca1_logreg,0.0,0.39934062274138327,0.0,0.7887769637769638,0.925,0.25,1.0
esm_pca3_logreg,0.0,0.3809360328290334,0.0,0.6547587828837829,0.6088888888888888,0.225,1.0
esm_pca5_logreg,0.0,0.3704602687717067,0.0,0.6687087218337218,0.663131313131313,0.45,0.5833333333333333
esm_pca7_logreg,0.0,0.38067250510454453,0.0,0.6410776723276723,0.4997979797979797,0.3666666666666667,0.8333333333333333
combo_RFbio_ESMpca,0.0,0.35901499481821075,0.0,0.6411190117072469,0.49428571428571433,0.20833333333333331,1.0
