rt_name,family,max_identity_to_other_family
A.platensis-Cas1-RT,CRISPR-associated,39.02439024390244
AFY36037.1-RT,Unclassified,38.613861386138616
ASLV-RT,Retroviral,34.099616858237546
AVIRE-RT,Retroviral,38.4
Abi-RT,Other,35.15625
BAEMV-RT,Retroviral,35.741444866920155
BLV-RT,Retroviral,38.28125
Bel-RT,LTR_Retrotransposon,33.76288659793814
CHLRE,LTR_Retrotransposon,34.946236559139784
CRISPRRT2-RT,CRISPR-associated,39.21568627450981
CaMV-RT,Other,38.613861386138616
DRG2-RT,Other,37.55868544600939
Drg-RT,Other,38.28125
Ec48-RT,Retron,32.996632996633
Ec67-RT,Retron,34.06113537117904
Er-RT,Group_II_Intron,33.89355742296919
FENV1-RT,Retroviral,36.470588235294116
FoxC-RT,LTR_Retrotransposon,33.89021479713604
FuRT-Cas1-RT,CRISPR-associated,37.88546255506608
GALV-RT,Retroviral,35.6401384083045
Gate-RT,LTR_Retrotransposon,33.203125
GroupII_CLA-RT,Group_II_Intron,36.48068669527897
Gs-RT,Group_II_Intron,40.39087947882736
Gypsy-RT,LTR_Retrotransposon,34.45378151260504
HIVpol+MMLVRNaseH_RT,Retroviral,36.25304136253041
IPMA-RT,Retroviral,34.29951690821256
KORV-RT,Retroviral,34.76702508960574
Line1-RT,LTR_Retrotransposon,38.53211009174312
LtrA-RT,Group_II_Intron,37.5
MMLV-RT,Retroviral,39.02439024390244
MMTV-RT,Retroviral,34.84848484848485
MPMV-RT,Retroviral,32.44274809160305
Med-CasRT,CRISPR-associated,35.66433566433567
Mx65-RT,Retron,35.526315789473685
Ne144-RT,Retron,35.53719008264463
Ngaro-RT,LTR_Retrotransposon,35.15625
PERV-RT,Retroviral,33.333333333333336
POL11ERV-RT,Retroviral,34.229828850855746
ROSE-CRISPR-RT,CRISPR-associated,40.39087947882736
RSVSB-RT,Retroviral,35.53719008264463
Retron86-RT,Retron,36.330935251798564
Rs-RT,Retron,38.4
SEN1-RT,Retron,35.714285714285715
SRV2-RT,Retroviral,35.526315789473685
Sau1-RT,Retron,38.43648208469055
TCDM_11122-RT,Other,34.21052631578947
Tel4c-RT,Group_II_Intron,39.21568627450981
Tf1-RT,LTR_Retrotransposon,33.40248962655602
Thr-RT,Retron,37.88546255506608
Ty1B-RT,LTR_Retrotransposon,34.98233215547703
Ty3-RT,LTR_Retrotransposon,34.2436974789916
Tyrosinerecomb-RT,LTR_Retrotransposon,34.883720930232556
Vc95-RT,Retron,34.98233215547703
Vp96-RT,Retron,34.76702508960574
WDSV-RT,Retroviral,36.86274509803921
WMSV-RT,Retroviral,34.81012658227848
"retronE,coli-RT",Retron,35.64356435643565
