rt_name,struct_n_residues,struct_yxdd_radius_gyration,struct_yxdd_helix_packing,struct_catalytic_pocket_volume,struct_aromatic_contacts_catalytic,struct_charged_contacts_catalytic,struct_hydrophobic_contacts_catalytic,struct_palm_thumb_distance,struct_mean_bfactor_catalytic,struct_yxdd_to_nterm_dist,struct_yxdd_to_cterm_dist,struct_local_density_catalytic
A.platensis-Cas1-RT,278,2.944120407104492,20.0,7634.0732421875,2.0,4.0,4.0,9.907747268676758,0.933030303030303,35.30079650878906,26.184799194335938,9.0
AFY36037.1-RT,226,2.9564883708953857,17.0,6418.9013671875,2.0,3.0,4.0,27.628002166748047,0.79875,29.305187225341797,43.721954345703125,9.0
ASLV-RT,572,2.9776391983032227,19.0,7243.22802734375,2.0,4.0,4.0,59.680850982666016,0.9229411764705883,21.707134246826172,61.849910736083984,9.0
AVIRE-RT,693,2.9349842071533203,19.0,7270.96240234375,1.0,4.0,4.0,74.60376739501953,0.9591666666666667,32.994686126708984,51.511314392089844,9.0
Abi-RT,315,3.3748536109924316,14.0,4332.45849609375,1.0,3.0,5.0,32.582977294921875,0.9492307692307691,37.83293533325195,33.785099029541016,11.0
BAEMV-RT,689,2.9330708980560303,20.0,7638.51318359375,1.0,4.0,4.0,69.9412612915039,0.9678378378378379,36.38373947143555,49.58031463623047,9.0
BLV-RT,584,2.957899570465088,20.0,8358.3056640625,1.0,3.0,3.0,51.19926834106445,0.9156756756756758,17.530763626098633,57.76048278808594,7.0
Bel-RT,464,2.939828872680664,19.0,8204.572265625,1.0,3.0,6.0,35.68039321899414,0.973170731707317,27.203508377075195,34.02817153930664,9.0
CHLRE,367,,,,,,,,,,,
CRISPRRT2-RT,319,2.9712185859680176,21.0,7648.2255859375,2.0,3.0,4.0,32.62411880493164,0.9602857142857143,27.952457427978516,69.60798645019531,8.0
CaMV-RT,682,2.949179172515869,20.0,6200.95849609375,1.0,3.0,5.0,38.34843444824219,0.9616666666666668,63.34090042114258,55.225730895996094,10.0
DRG2-RT,336,2.9284026622772217,20.0,8418.4736328125,1.0,4.0,4.0,28.573144912719727,0.9405555555555554,27.29203224182129,38.41221618652344,8.0
Drg-RT,327,2.9112775325775146,20.0,7194.95458984375,2.0,4.0,5.0,28.042924880981445,0.9055555555555556,26.806617736816406,31.125497817993164,9.0
Ec48-RT,407,,,,,,,,,,,
Ec67-RT,586,2.9367666244506836,20.0,7656.25537109375,1.0,4.0,4.0,50.30308532714844,0.978108108108108,39.513423919677734,57.45336151123047,10.0
